nama,rating,jumlah_review,tipe,lat,lon,kategori,provinsi,url_gambar_1,url_gambar,url_gambar_2
Bale Rantjah Park,3.8,675,Tujuan Wisata,-7.5778458,110.6783925,Alam,Jawa Tengah,,,
Monumen Perjuangan Taruna (Plataran),4.5,426,Monumen,-7.7144158,110.4629907,Edukasi,Daerah Istimewa Yogyakarta,,,
Pantai Pasir Putih,3.7,196,Pantai,-6.0282572,106.524324,Alam,Banten,https://pixabay.com/get/gc0b641900b6f2540c0e7e1b6f6175c36da695086a403504ad2d2425172b0c310ed98bcbfd5d5f179cff84d088b379d6dbdd711f40eb688cc4a878e533eaf03bb_1280.jpg,https://images.pexels.com/photos/3546881/pexels-photo-3546881.jpeg,https://images.unsplash.com/photo-1580110552993-9712f4198254?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTkzODB8MHwxfHNlYXJjaHwxM3x8UGFudGFpJTIwUGFzaXIlMjBQdXRpaHxlbnwwfDB8fHwxNzQ4OTQ4NjQ3fDA&ixlib=rb-4.1.0&q=80&w=1080
Pantai Karang Asri,4.2,83,Tujuan Wisata,-6.8915487,110.100578,Alam,Jawa Tengah,,,
Istana Brillian Oleh-Oleh Makanan & Buah Tangan,4.2,293,Toko Suvenir,-6.9918362,110.4234219,Shopping,Jawa Tengah,,,
Taman Cerdas Kelurahan Jebres,4.5,5929,Taman bermain,-7.5540309,110.8534205,Taman Hiburan,Jawa Tengah,,,
Tugu Pucuk Mangga,4.7,29,Patung,-6.3550684,108.3149365,Edukasi,Jawa Barat,https://pixabay.com/get/g7bd50a46d48f6f63099511d56ea92edf88f1a5f8a4b310bb369cf5bc59f7132875c1ced5b330ee41e87e9e86cd534759febadc50533040ea8ad6640964124d29_1280.jpg,https://images.pexels.com/photos/32162193/pexels-photo-32162193.jpeg,
Oleh-Oleh Khas Bali Dewata Agung Pie Susu,4.9,1415,Toko Pie,-8.7162288,115.2078424,Shopping,Bali,,,
Candi Gedong Ii,4.5,332,Tujuan Wisata,-7.2049189,110.3406152,Edukasi,Jawa Tengah,,,
Hutan Mangrove Desa Muara Teluk Naga,4.3,717,Tujuan Wisata,-6.0349356,106.6988898,Alam,Banten,https://pixabay.com/get/g1c54be28959a54aeb00bd0e62075de6be22c9946b3c9d362315f5a3ef983fc5b83c5509b6694d77eb65b73c1b94fca386e02f5b168ca5e0b26072586922a9d89_1280.jpg,https://images.pexels.com/photos/32380336/pexels-photo-32380336.jpeg,https://images.unsplash.com/photo-1605316061464-eea55e21c398?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTkzODB8MHwxfHNlYXJjaHw2fHxIdXRhbiUyME1hbmdyb3ZlJTIwRGVzYSUyME11YXJhJTIwVGVsdWslMjBOYWdhfGVufDB8MHx8fDE3NDg5NDg2NDN8MA&ixlib=rb-4.1.0&q=80&w=1080
Ekowisata Mangrove Cengkrong,4.2,281,Tujuan Wisata,-8.297964,111.7071217,Alam,Jawa Timur,,,
Gedung Indonesia Menggugat,4.5,915,Bangunan Bersejarah,-6.9135375,107.608023,Edukasi,Jawa Barat,https://pixabay.com/get/gda72c1f06e63a6a1f6618f7a3320cdd23ce38dbb4fc5e26388771335bb41324a206315c787a1e7d36205d83bfbbf6c99479c8c2ac376493dbf0a0549c1da7409_1280.jpg,,
Pantai Muaya,4.5,929,Pantai,-8.782424,115.1618833,Alam,Bali,,,
Boom Boom Waterparksb,4.2,1741,Taman Rekreasi Air,-6.399852,107.1115839,Taman Hiburan,Jawa Barat,,,
Pintu Masuk Wisata Mangrove Ketapang,4.8,32,Tujuan Wisata,-6.0417097,106.5127442,Alam,Banten,https://pixabay.com/get/ga9ae43a4be4086f5f68f34fc0f6384fa153d6925b55f4103651f5242a5f4487ac3780fc435b4ef33221acc4799c9580deaa2eb80a162022cc0db4533fb875ab4_1280.jpg,https://images.pexels.com/photos/32380336/pexels-photo-32380336.jpeg,https://images.unsplash.com/photo-1661259218858-2d89607b0aaf?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTkzODB8MHwxfHNlYXJjaHwyfHxQaW50dSUyME1hc3VrJTIwV2lzYXRhJTIwTWFuZ3JvdmUlMjBLZXRhcGFuZ3xlbnwwfDB8fHwxNzQ4OTQ4NjQzfDA&ixlib=rb-4.1.0&q=80&w=1080
Lorencia Water Park,4.5,378,Taman Rekreasi Air,-7.8364073,110.9550638,Taman Hiburan,Jawa Tengah,,,
Bakpia Djava,4.2,3491,Toko Roti,-7.783307,110.425151,Shopping,Daerah Istimewa Yogyakarta,,,
Candi Miri,4.6,57,Tujuan Wisata,-7.7718866,110.5076526,Edukasi,Daerah Istimewa Yogyakarta,,,
Candi Gana,4.2,154,Tujuan Wisata,-7.7439739,110.4961361,Edukasi,Jawa Tengah,,,
